TxnID,TxnDate,Store,SKU,Category,Brand,UnitsSold,OnHandStock,UnitCost,UnitPrice,Revenue,DaysOfCover,LowStockFlag,
900036,2024-09-03,Store-13,SKU-01561,Snacks,Nova,4,241,126.28,216.35,865.40,60.25,0,
900038,2024-11-11,Store-09,SKU-00187,Snacks,BlueBay,2,249,143.61,232.58,465.16,124.50,0,
900039,2024-09-29,Store-16,SKU-00317,Beverages,Nova,4,65,158.02,234.08,936.32,16.25,0,
900040,2024-07-27,Store-12,SKU-00600,Beverages,Peak,2,126,41.49,62.04,124.08,63.00,0,
900041,2024-10-09,Store-20,SKU-01661,Grocery,Aster,5,107,113.06,154.98,774.90,21.40,0,
900042,2024-07-08,Store-07,SKU-00987,Snacks,Nova,3,26,81.86,131.71,395.13,8.67,0,
900043,2024-12-17,Store-12,SKU-01267,Grocery,Aster,4,42,59.47,84.11,336.44,10.50,0,
900044,2024-08-25,Store-08,SKU-01562,Grocery,Peak,2,253,137.56,187.76,375.52,126.50,0,
900045,2024-11-07,Store-21,SKU-00084,Grocery,FreshCo,5,89,82.50,110.41,552.05,17.80,0,
900046,2024-09-04,Store-15,SKU-00196,Beverages,Aster,5,168,66.14,94.92,474.60,33.60,0,
900047,2024-10-14,Store-02,SKU-01302,Beverages,FreshCo,2,93,172.43,248.68,497.36,46.50,0,
900048,2024-10-19,Store-11,SKU-01159,Snacks,FreshCo,3,90,75.73,118.37,355.11,30.00,0,
900049,2024-08-09,Store-24,SKU-00378,Home,Urban,3,218,89.13,145.51,436.53,72.67,0,
900050,2024-12-27,Store-21,SKU-00118,Home,Nova,2,245,97.42,150.89,301.78,122.50,0,
900051,2024-11-25,Store-05,SKU-00026,Beverages,Peak,4,238,87.80,124.90,499.60,59.50,0,
900052,2024-12-22,Store-23,SKU-01719,Grocery,BlueBay,3,133,26.49,34.70,104.10,44.33,0,
900053,2024-12-14,Store-06,SKU-00239,Personal Care,FreshCo,2,192,180.86,307.43,614.86,96.00,0,
900054,2024-10-28,Store-19,SKU-01133,Grocery,Aster,2,147,45.50,58.60,117.20,73.50,0,
900055,2024-12-19,Store-14,SKU-01114,Personal Care,Aster,6,151,169.78,312.56,1875.36,25.17,0,
900056,2024-07-20,Store-07,SKU-00382,Snacks,Urban,2,66,44.32,70.79,141.58,33.00,0,
900057,2024-08-12,Store-12,SKU-00793,Grocery,Urban,3,12,120.34,156.97,470.91,4.00,1,
900058,2024-07-10,Store-17,SKU-01656,Home,Peak,6,63,107.37,170.38,1022.28,10.50,0,
900059,2024-09-07,Store-04,SKU-01716,Grocery,BlueBay,3,225,96.99,125.13,375.39,75.00,0,
900060,2024-09-19,Store-20,SKU-01042,Beverages,Peak,6,214,106.66,158.98,953.88,35.67,0,
900061,2024-08-27,Store-22,SKU-00664,Personal Care,Aster,5,32,151.23,254.30,1271.50,6.40,1,
900062,2024-12-04,Store-22,SKU-00502,Snacks,FreshCo,6,217,85.78,137.50,825.00,36.17,0,
900063,2024-09-13,Store-10,SKU-00620,Snacks,Aster,4,187,160.39,254.58,1018.32,46.75,0,
900064,2024-08-29,Store-24,SKU-01679,Snacks,FreshCo,2,210,135.00,213.44,426.88,105.00,0,
900065,2024-10-18,Store-01,SKU-00776,Grocery,Aster,5,200,47.77,65.82,329.10,40.00,0,
900066,2024-07-31,Store-23,SKU-01579,Personal Care,Peak,3,146,141.01,250.28,750.84,48.67,0,
900067,2024-11-29,Store-04,SKU-00217,Snacks,BlueBay,3,183,168.33,265.89,797.67,61.00,0,
900068,2024-07-17,Store-13,SKU-00995,Beverages,FreshCo,3,132,209.10,319.05,957.15,44.00,0,
900069,2024-12-29,Store-06,SKU-00024,Snacks,Peak,4,58,194.78,297.86,1191.44,14.50,0,
900070,2024-11-25,Store-15,SKU-01518,Personal Care,BlueBay,1,40,28.78,51.40,51.40,40.00,0,
900071,2024-08-12,Store-14,SKU-01786,Home,BlueBay,4,68,102.01,161.88,647.52,17.00,0,
900072,2024-07-02,Store-25,SKU-01000,Grocery,Peak,1,105,203.03,279.27,279.27,105.00,0,
900073,2024-12-01,Store-03,SKU-00373,Grocery,Aster,5,170,38.78,52.63,263.15,34.00,0,
900074,2024-11-14,Store-24,SKU-00614,Beverages,Aster,1,30,150.30,217.76,217.76,30.00,0,
900075,2024-11-18,Store-19,SKU-01493,Personal Care,Urban,3,69,190.72,356.82,1070.46,23.00,0,
900076,2024-11-24,Store-06,SKU-01526,Beverages,Peak,4,236,209.31,318.65,1274.60,59.00,0,
900077,2024-07-17,Store-02,SKU-01562,Grocery,BlueBay,3,17,127.74,162.17,486.51,5.67,1,
900078,2024-09-13,Store-09,SKU-00330,Snacks,Urban,1,12,137.91,216.64,216.64,12.00,0,
900079,2024-07-26,Store-13,SKU-01178,Snacks,Nova,2,49,163.58,262.08,524.16,24.50,0,
900080,2024-12-09,Store-18,SKU-00936,Beverages,Peak,3,159,91.65,125.38,376.14,53.00,0,
900081,2024-11-01,Store-12,SKU-00417,Home,Urban,1,229,65.04,107.89,107.89,229.00,0,
900082,2024-09-08,Store-21,SKU-01465,Grocery,Nova,3,29,193.66,268.59,805.77,9.67,0,
900083,2024-07-14,Store-22,SKU-00423,Beverages,Peak,2,172,103.40,139.93,279.86,86.00,0,
900084,2024-09-04,Store-04,SKU-01665,Snacks,Peak,4,244,200.35,329.39,1317.56,61.00,0,
900085,2024-09-07,Store-23,SKU-00606,Personal Care,Nova,3,215,111.94,202.51,607.53,71.67,0,
900086,2024-11-18,Store-07,SKU-01061,Snacks,Aster,4,161,211.02,359.49,1437.96,40.25,0,
900087,2024-11-03,Store-12,SKU-01298,Personal Care,Nova,2,61,14.85,26.24,52.48,30.50,0,
900088,2024-12-13,Store-23,SKU-01182,Beverages,BlueBay,2,193,42.92,59.77,119.54,96.50,0,
900089,2024-10-05,Store-11,SKU-01691,Personal Care,FreshCo,4,38,15.50,27.06,108.24,9.50,0,
900090,2024-07-27,Store-07,SKU-00700,Personal Care,Peak,2,175,173.02,302.19,604.38,87.50,0,
900091,2024-11-15,Store-10,SKU-01457,Beverages,FreshCo,5,117,58.86,83.39,416.95,23.40,0,
900092,2024-11-23,Store-09,SKU-00113,Home,Nova,4,198,44.75,71.79,287.16,49.50,0,
900093,2024-10-21,Store-02,SKU-00542,Snacks,Aster,2,62,164.87,272.01,544.02,31.00,0,
900094,2024-11-24,Store-05,SKU-00941,Snacks,FreshCo,4,194,32.72,53.66,214.64,48.50,0,
900095,2024-10-09,Store-10,SKU-01781,Beverages,BlueBay,2,140,191.75,286.03,572.06,70.00,0,
900096,2024-10-14,Store-25,SKU-01636,Beverages,Urban,4,220,113.21,171.24,684.96,55.00,0,
900097,2024-09-27,Store-14,SKU-01557,Home,Urban,3,217,118.12,187.59,562.77,72.33,0,
900098,2024-07-06,Store-16,SKU-01462,Snacks,Peak,4,15,82.90,131.76,527.04,3.75,1,
900099,2024-07-24,Store-02,SKU-01424,Snacks,Peak,3,7,60.28,100.83,302.49,2.33,1,
900100,2024-07-07,Store-19,SKU-00018,Snacks,Aster,1,30,218.94,366.38,366.38,30.00,0,
900101,2024-11-03,Store-23,SKU-00162,Grocery,Aster,3,65,80.93,113.73,341.19,21.67,0,
900102,2024-09-05,Store-09,SKU-01429,Snacks,BlueBay,4,235,98.97,169.50,678.00,58.75,0,
900103,2024-10-12,Store-14,SKU-01484,Personal Care,Urban,2,133,166.79,285.65,571.30,66.50,0,
900104,2024-12-16,Store-15,SKU-00159,Personal Care,Aster,2,103,191.36,330.51,661.02,51.50,0,
900105,2024-08-23,Store-19,SKU-01034,Snacks,BlueBay,4,245,89.96,141.74,566.96,61.25,0,
900106,2024-09-24,Store-08,SKU-00873,Home,Urban,4,5,18.21,27.50,110.00,1.25,1,
900107,2024-11-22,Store-15,SKU-01786,Home,FreshCo,4,185,132.73,218.73,874.92,46.25,0,
900108,2024-08-18,Store-08,SKU-01540,Home,Urban,2,218,161.20,256.66,513.32,109.00,0,
900109,2024-07-17,Store-04,SKU-01039,Grocery,Aster,2,92,164.39,215.08,430.16,46.00,0,
900110,2024-08-31,Store-06,SKU-00565,Grocery,Aster,4,237,50.42,65.09,260.36,59.25,0,
900111,2024-08-04,Store-11,SKU-00699,Personal Care,Urban,2,104,153.49,270.32,540.64,52.00,0,
900112,2024-12-20,Store-12,SKU-01079,Snacks,Nova,1,242,219.85,346.08,346.08,242.00,0,
900113,2024-11-30,Store-24,SKU-00446,Snacks,Nova,2,211,63.21,107.66,215.32,105.50,0,
900114,2024-11-03,Store-09,SKU-01769,Grocery,Aster,3,90,92.34,127.71,383.13,30.00,0,
900115,2024-12-10,Store-18,SKU-01180,Personal Care,Urban,1,142,82.29,149.03,149.03,142.00,0,
900116,2024-11-29,Store-17,SKU-00890,Snacks,Nova,2,5,60.11,97.05,194.10,2.50,1,
900117,2024-08-10,Store-21,SKU-00391,Personal Care,Peak,5,177,144.06,242.05,1210.25,35.40,0,
900118,2024-12-14,Store-03,SKU-00139,Snacks,FreshCo,2,126,49.47,84.28,168.56,63.00,0,
900119,2024-10-17,Store-13,SKU-01437,Snacks,FreshCo,3,188,109.10,171.68,515.04,62.67,0,
900120,2024-11-30,Store-06,SKU-01698,Home,Urban,5,204,146.05,243.45,1217.25,40.80,0,
900121,2024-12-15,Store-14,SKU-00884,Snacks,Nova,2,33,51.49,83.91,167.82,16.50,0,
900122,2024-09-06,Store-01,SKU-00762,Personal Care,Urban,6,69,204.08,353.67,2122.02,11.50,0,
900123,2024-07-24,Store-04,SKU-00125,Personal Care,Aster,1,158,166.15,297.28,297.28,158.00,0,
900124,2024-08-18,Store-22,SKU-01652,Beverages,Aster,4,101,164.01,231.98,927.92,25.25,0,
900125,2024-09-27,Store-18,SKU-00219,Snacks,Peak,5,120,144.44,241.44,1207.20,24.00,0,
900126,2024-12-02,Store-11,SKU-00281,Beverages,Aster,1,110,132.24,189.67,189.67,110.00,0,
900127,2024-12-09,Store-11,SKU-00440,Snacks,Urban,1,121,195.00,321.22,321.22,121.00,0,
900128,2024-07-02,Store-08,SKU-01776,Snacks,FreshCo,3,48,196.09,302.30,906.90,16.00,0,
900129,2024-10-12,Store-04,SKU-00102,Snacks,FreshCo,3,70,111.03,184.38,553.14,23.33,0,
900130,2024-09-25,Store-02,SKU-01064,Grocery,Nova,3,54,145.21,186.99,560.97,18.00,0,
900131,2024-08-17,Store-01,SKU-00471,Snacks,Aster,6,204,73.08,113.11,678.66,34.00,0,
900132,2024-07-27,Store-24,SKU-01400,Snacks,Nova,2,206,73.74,120.40,240.80,103.00,0,
900133,2024-09-09,Store-10,SKU-01629,Snacks,Aster,4,224,128.47,216.80,867.20,56.00,0,
900134,2024-12-22,Store-17,SKU-01215,Beverages,FreshCo,3,246,113.11,169.59,508.77,82.00,0,
900135,2024-09-07,Store-07,SKU-00434,Snacks,FreshCo,4,119,182.60,295.51,1182.04,29.75,0,
900136,2024-10-14,Store-07,SKU-00011,Grocery,BlueBay,3,101,188.94,259.99,779.97,33.67,0,
900137,2024-11-14,Store-13,SKU-01724,Snacks,Peak,1,204,21.41,36.81,36.81,204.00,0,
900138,2024-09-14,Store-22,SKU-01728,Grocery,FreshCo,2,71,156.59,217.69,435.38,35.50,0,
900139,2024-12-27,Store-24,SKU-01270,Snacks,Aster,2,233,72.43,116.26,232.52,116.50,0,
900140,2024-12-25,Store-01,SKU-00132,Snacks,FreshCo,3,180,185.21,314.51,943.53,60.00,0,
900141,2024-08-23,Store-01,SKU-00484,Grocery,FreshCo,4,193,27.96,37.46,149.84,48.25,0,
900142,2024-10-10,Store-13,SKU-00415,Snacks,FreshCo,7,124,26.63,43.96,307.72,17.71,0,
900143,2024-09-02,Store-01,SKU-01354,Snacks,Urban,2,169,8.74,14.71,29.42,84.50,0,
900144,2024-08-30,Store-06,SKU-00822,Snacks,BlueBay,5,139,127.31,218.69,1093.45,27.80,0,
900145,2024-07-09,Store-23,SKU-00568,Grocery,Nova,7,99,116.22,162.34,1136.38,14.14,0,
900146,2024-10-30,Store-25,SKU-00862,Beverages,Urban,4,231,131.29,191.75,767.00,57.75,0,
900147,2024-10-11,Store-10,SKU-00355,Personal Care,Peak,4,153,11.49,20.95,83.80,38.25,0,
900148,2024-07-12,Store-21,SKU-01580,Home,BlueBay,4,166,112.95,184.24,736.96,41.50,0,
900149,2024-08-29,Store-01,SKU-01745,Beverages,BlueBay,4,243,43.02,62.63,250.52,60.75,0,
900150,2024-12-17,Store-25,SKU-00261,Personal Care,Aster,3,5,202.58,379.04,1137.12,1.67,1,
900151,2024-08-21,Store-05,SKU-01731,Snacks,Urban,3,185,219.23,360.57,1081.71,61.67,0,
900152,2024-08-01,Store-22,SKU-00592,Beverages,Aster,1,221,75.35,104.32,104.32,221.00,0,
900153,2024-10-08,Store-25,SKU-01011,Grocery,Peak,3,139,58.64,77.92,233.76,46.33,0,
900154,2024-12-29,Store-02,SKU-00580,Home,BlueBay,1,131,94.59,140.58,140.58,131.00,0,
900155,2024-08-21,Store-03,SKU-01673,Home,Nova,4,105,119.85,195.64,782.56,26.25,0,
900157,2024-11-23,Store-03,SKU-00341,Beverages,Nova,6,205,162.85,248.34,1490.04,34.17,0,
900158,2024-08-20,Store-18,SKU-00970,Snacks,Peak,4,159,161.31,262.69,1050.76,39.75,0,
900159,2024-11-18,Store-23,SKU-01653,Personal Care,BlueBay,1,68,92.87,166.67,166.67,68.00,0,
900160,2024-09-15,Store-08,SKU-00095,Beverages,Nova,4,242,117.64,177.34,709.36,60.50,0,
900161,2024-11-03,Store-09,SKU-01745,Home,Peak,1,78,194.41,309.41,309.41,78.00,0,
900162,2024-11-03,Store-02,SKU-00016,Personal Care,FreshCo,2,50,206.76,349.65,699.30,25.00,0,
900163,2024-10-17,Store-02,SKU-01135,Personal Care,BlueBay,1,119,216.61,402.72,402.72,119.00,0,
900164,2024-07-20,Store-16,SKU-00326,Beverages,Peak,3,63,188.04,286.11,858.33,21.00,0,
900165,2024-12-05,Store-07,SKU-01246,Personal Care,Peak,5,128,111.14,209.35,1046.75,25.60,0,
900166,2024-09-06,Store-04,SKU-01295,Home,Nova,3,70,173.02,281.16,843.48,23.33,0,
900167,2024-08-10,Store-05,SKU-00875,Grocery,Aster,1,122,154.80,206.63,206.63,122.00,0,
900168,2024-07-09,Store-01,SKU-01460,Home,FreshCo,2,162,85.89,132.79,265.58,81.00,0,
900169,2024-10-26,Store-22,SKU-00671,Snacks,Urban,4,104,10.99,17.03,68.12,26.00,0,
900170,2024-11-10,Store-10,SKU-00094,Home,BlueBay,2,64,70.61,112.39,224.78,32.00,0,
900171,2024-07-04,Store-13,SKU-00997,Snacks,Urban,5,130,72.33,120.37,601.85,26.00,0,
900172,2024-10-12,Store-24,SKU-00336,Grocery,Aster,1,61,18.81,25.07,25.07,61.00,0,
900173,2024-08-18,Store-15,SKU-00812,Grocery,Aster,1,51,41.70,58.87,58.87,51.00,0,
900174,2024-11-05,Store-01,SKU-01525,Beverages,FreshCo,3,210,157.13,213.17,639.51,70.00,0,
900175,2024-08-07,Store-18,SKU-00164,Personal Care,Peak,2,244,41.33,77.35,154.70,122.00,0,
900176,2024-11-12,Store-23,SKU-00894,Snacks,Aster,5,58,114.69,179.58,897.90,11.60,0,
900177,2024-09-19,Store-14,SKU-01410,Snacks,FreshCo,2,216,128.52,199.35,398.70,108.00,0,
900178,2024-12-21,Store-18,SKU-00412,Beverages,Aster,3,240,38.76,54.80,164.40,80.00,0,
900179,2024-07-30,Store-25,SKU-00368,Snacks,BlueBay,6,10,131.32,215.34,1292.04,1.67,1,
900180,2024-09-10,Store-22,SKU-01320,Snacks,Peak,2,131,170.98,273.01,546.02,65.50,0,
900181,2024-07-25,Store-12,SKU-00319,Snacks,BlueBay,2,37,20.70,31.63,63.26,18.50,0,
900182,2024-12-19,Store-12,SKU-01279,Personal Care,Aster,3,22,37.19,63.70,191.10,7.33,0,
900183,2024-12-11,Store-05,SKU-00489,Home,FreshCo,4,57,172.55,281.61,1126.44,14.25,0,
900184,2024-08-24,Store-07,SKU-00550,Snacks,Peak,2,169,151.19,246.66,493.32,84.50,0,
900185,2024-11-07,Store-24,SKU-00896,Home,Peak,6,132,113.67,183.99,1103.94,22.00,0,
900186,2024-12-02,Store-13,SKU-01444,Grocery,BlueBay,5,246,78.22,101.05,505.25,49.20,0,
900187,2024-10-20,Store-09,SKU-01718,Grocery,Aster,1,116,100.19,129.21,129.21,116.00,0,
900188,2024-10-16,Store-06,SKU-00187,Beverages,Nova,3,81,131.46,201.55,604.65,27.00,0,
900189,2024-08-21,Store-21,SKU-00025,Grocery,Nova,4,169,71.02,89.97,359.88,42.25,0,
900190,2024-07-21,Store-07,SKU-00142,Home,BlueBay,1,64,197.86,320.64,320.64,64.00,0,
900191,2024-12-15,Store-18,SKU-00428,Beverages,BlueBay,3,245,32.36,45.37,136.11,81.67,0,
900192,2024-12-15,Store-15,SKU-01148,Snacks,Nova,2,46,64.47,98.54,197.08,23.00,0,
900193,2024-11-03,Store-08,SKU-00025,Home,Aster,4,76,130.53,194.12,776.48,19.00,0,
900194,2024-09-10,Store-20,SKU-00477,Snacks,Aster,4,81,124.49,191.99,767.96,20.25,0,
900195,2024-09-12,Store-16,SKU-01487,Grocery,BlueBay,9,207,160.90,226.64,2039.76,23.00,0,
900196,2024-11-17,Store-17,SKU-00847,Snacks,Aster,2,154,19.57,32.53,65.06,77.00,0,
900197,2024-12-15,Store-03,SKU-01711,Home,Urban,1,9,114.45,171.71,171.71,9.00,0,
900198,2024-12-13,Store-13,SKU-01455,Home,Urban,3,234,96.44,157.85,473.55,78.00,0,
900199,2024-11-26,Store-09,SKU-01256,Snacks,FreshCo,7,199,175.49,284.69,1992.83,28.43,0,
900200,2024-11-04,Store-20,SKU-01681,Grocery,FreshCo,1,131,175.89,245.70,245.70,131.00,0,
900201,2024-07-19,Store-15,SKU-01369,Home,BlueBay,4,16,131.89,219.73,878.92,4.00,1,
900202,2024-08-05,Store-16,SKU-01047,Home,Peak,3,190,163.15,255.08,765.24,63.33,0,
900203,2024-12-15,Store-16,SKU-01760,Home,FreshCo,1,188,176.97,262.93,262.93,188.00,0,
900204,2024-10-29,Store-19,SKU-00122,Snacks,FreshCo,4,217,191.14,297.26,1189.04,54.25,0,
900205,2024-07-03,Store-04,SKU-01247,Snacks,Urban,3,129,217.74,352.02,1056.06,43.00,0,
900206,2024-07-23,Store-19,SKU-00983,Personal Care,Nova,2,109,131.54,237.08,474.16,54.50,0,
900207,2024-11-07,Store-19,SKU-01254,Snacks,FreshCo,2,140,37.75,61.89,123.78,70.00,0,
900208,2024-07-02,Store-02,SKU-00017,Snacks,FreshCo,3,150,58.63,89.57,268.71,50.00,0,
900209,2024-08-04,Store-06,SKU-01309,Beverages,FreshCo,4,162,211.74,302.73,1210.92,40.50,0,
900210,2024-10-19,Store-13,SKU-00002,Grocery,FreshCo,5,59,52.15,70.81,354.05,11.80,0,
900211,2024-11-12,Store-15,SKU-00267,Personal Care,Urban,4,67,13.06,24.29,97.16,16.75,0,
900212,2024-11-06,Store-10,SKU-01552,Grocery,Nova,2,101,141.02,200.52,401.04,50.50,0,
900213,2024-08-17,Store-22,SKU-01557,Home,BlueBay,6,217,133.30,196.83,1180.98,36.17,0,
900214,2024-11-15,Store-10,SKU-00251,Beverages,Urban,2,90,11.87,17.75,35.50,45.00,0,
900215,2024-08-20,Store-04,SKU-00277,Grocery,Urban,4,257,164.86,230.44,921.76,64.25,0,
900216,2024-09-07,Store-14,SKU-01030,Grocery,Nova,3,162,21.95,30.16,90.48,54.00,0,
900217,2024-11-20,Store-08,SKU-01261,Personal Care,Aster,1,213,138.41,244.80,244.80,213.00,0,
900218,2024-11-05,Store-06,SKU-01559,Grocery,FreshCo,2,203,215.84,283.49,566.98,101.50,0,
900219,2024-12-07,Store-12,SKU-01721,Personal Care,FreshCo,2,228,83.42,138.92,277.84,114.00,0,
900220,2024-11-07,Store-08,SKU-00224,Snacks,Urban,4,83,203.39,346.17,1384.68,20.75,0,
900221,2024-10-22,Store-06,SKU-01575,Grocery,Peak,4,29,119.30,163.97,655.88,7.25,0,
900222,2024-07-21,Store-15,SKU-00941,Home,FreshCo,3,9,99.64,147.46,442.38,3.00,1,
900223,2024-09-15,Store-25,SKU-01510,Snacks,Aster,1,157,136.90,223.97,223.97,157.00,0,
900224,2024-08-26,Store-19,SKU-01437,Beverages,Urban,2,118,89.84,129.78,259.56,59.00,0,
900225,2024-08-22,Store-14,SKU-01055,Grocery,Nova,6,75,27.17,36.77,220.62,12.50,0,
900226,2024-12-27,Store-03,SKU-00473,Home,Aster,1,26,214.99,327.71,327.71,26.00,0,
900227,2024-09-20,Store-18,SKU-00514,Beverages,Peak,4,174,80.34,111.46,445.84,43.50,0,
900228,2024-12-14,Store-10,SKU-01366,Beverages,BlueBay,3,34,146.99,213.96,641.88,11.33,0,
900229,2024-11-02,Store-14,SKU-00165,Grocery,Peak,4,1,133.20,182.87,731.48,0.25,1,
900230,2024-11-28,Store-14,SKU-00300,Grocery,Peak,4,175,127.49,160.18,640.72,43.75,0,
900231,2024-10-11,Store-22,SKU-00975,Beverages,Nova,3,64,181.51,267.79,803.37,21.33,0,
900232,2024-10-24,Store-07,SKU-00454,Personal Care,Aster,1,50,163.12,303.20,303.20,50.00,0,
900233,2024-10-09,Store-07,SKU-00639,Grocery,Peak,5,199,186.83,252.16,1260.80,39.80,0,
900234,2024-08-11,Store-21,SKU-00481,Snacks,Peak,2,3,174.55,273.77,547.54,1.50,1,
900235,2024-11-17,Store-22,SKU-00075,Home,BlueBay,1,188,100.41,148.93,148.93,188.00,0,
900236,2024-08-29,Store-23,SKU-00309,Home,Urban,2,119,43.63,67.79,135.58,59.50,0,
900237,2024-07-06,Store-11,SKU-00076,Grocery,Nova,4,82,130.80,180.02,720.08,20.50,0,
900238,2024-11-05,Store-18,SKU-00387,Snacks,Peak,3,254,142.26,229.06,687.18,84.67,0,
900239,2024-08-08,Store-10,SKU-01374,Snacks,Nova,5,45,159.29,247.67,1238.35,9.00,0,
900240,2024-12-22,Store-15,SKU-01299,Grocery,Peak,2,221,162.34,206.06,412.12,110.50,0,
900241,2024-12-24,Store-12,SKU-01325,Home,FreshCo,3,55,75.44,123.13,369.39,18.33,0,
900242,2024-12-18,Store-23,SKU-00957,Beverages,FreshCo,7,24,97.09,138.68,970.76,3.43,1,
900243,2024-09-16,Store-17,SKU-00747,Personal Care,Aster,3,54,193.14,333.35,1000.05,18.00,0,
900244,2024-07-04,Store-22,SKU-01079,Grocery,Aster,3,107,152.80,216.70,650.10,35.67,0,
900245,2024-12-20,Store-24,SKU-01735,Snacks,BlueBay,3,144,68.77,116.92,350.76,48.00,0,
900246,2024-09-27,Store-17,SKU-00460,Beverages,BlueBay,2,155,214.69,324.42,648.84,77.50,0,
900247,2024-12-26,Store-01,SKU-01565,Home,Nova,1,0,118.26,177.17,177.17,0.00,1,
900248,2024-12-26,Store-06,SKU-01599,Personal Care,Nova,2,49,84.77,146.21,292.42,24.50,0,
900249,2024-12-07,Store-21,SKU-00661,Personal Care,Urban,2,48,146.35,258.95,517.90,24.00,0,
900250,2024-09-01,Store-15,SKU-00313,Personal Care,Nova,2,135,164.95,279.97,559.94,67.50,0,
900251,2024-09-19,Store-19,SKU-00269,Personal Care,Aster,1,178,43.75,81.85,81.85,178.00,0,
900252,2024-12-07,Store-14,SKU-01521,Personal Care,Urban,3,117,108.98,185.56,556.68,39.00,0,
900253,2024-09-05,Store-10,SKU-00155,Home,Peak,3,154,161.64,269.62,808.86,51.33,0,
900254,2024-08-06,Store-10,SKU-01220,Grocery,Aster,3,137,71.64,91.30,273.90,45.67,0,
